Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,22,1,222,5,1,100,2000,0.434612147807018,0.0231676537793855,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,32,1,232,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.07,0.01,0.92,200,43,1,243,5,0.8,100,2000,0.456597,0.024689109291,0.995,0.0796,NaN,NaN,NaN,0.07,0.01,0.92,0.07,0.01
3,0.06,0.03,0.91,200,36,1,239,5,1,100,2000,0.466897,0.025258141091,0.9955,0.089595,NaN,NaN,NaN,0.06,0.03,0.91,0.06,0.03
4,0.1,0.03,0.87,200,65,1,269,5,0.8,100,2000,0.481698,0.028349066596,0.9891,0.128583,NaN,NaN,NaN,0.1,0.03,0.87,0.1,0.03
5,0.09,0.05,0.86,200,50,1,254,5,0.6,100,2000,0.490398,0.028552451396,0.9894,0.138516,NaN,NaN,NaN,0.09,0.05,0.86,0.09,0.05
6,0.15,0,0.85,200,54,1,257,5,1,100,2000,0.506399,0.030568122699,0.9775,0.146625,NaN,NaN,NaN,0.15,0,0.85,0.15,0
7,0.18,0,0.82,200,54,1,260,5,1,100,2000,0.521599,0.033219593099,0.9676,0.174168,NaN,NaN,NaN,0.18,0,0.82,0.18,0
8,0.2,0.02,0.78,200,78,1,288,5,1,100,2000,0.540899999999999,0.03584936,0.9596,0.211112,NaN,NaN,NaN,0.2,0.02,0.78,0.2,0.02
9,0.17,0.13,0.7,200,104,1,321,5,1,100,2000,0.5659,0.03909236,0.9542,0.28626,NaN,NaN,NaN,0.17,0.13,0.7,0.17,0.13
10,0.24,0.11,0.65,200,105,1,322,5,0.8,100,2000,0.5966,0.04367075,0.9303,0.325605,NaN,NaN,NaN,0.24,0.11,0.65,0.24,0.11
11,0.23,0.17,0.6,200,132,1,360,5,1,100,2000,0.6275,0.04777524,0.9182,0.36728,NaN,NaN,NaN,0.23,0.17,0.6,0.23,0.17
12,0.3,0.22,0.48,200,163,1,402,5,1,100,2000,0.6578,0.04686771,0.8616,0.448032,NaN,NaN,NaN,0.3,0.22,0.48,0.3,0.22
13,0.76,0,0.24,200,239,1,515,5,1,100,2000,0.6941,0.046868,0.4224,0.321024,NaN,NaN,NaN,0.76,0,0.24,0.76,0
14,0.19,0.64,0.17,200,275,1,556,5,1,100,2000,0.7456,0.04338475,0.5543,0.460069,NaN,NaN,NaN,0.19,0.64,0.17,0.19,0.64
15,0.71,0.23,0.06,200,273,1,573,5,1,100,2000,0.7838,0.03692531,0.443,0.41642,NaN,NaN,NaN,0.71,0.23,0.06,0.71,0.23
16,1,0,0,200,281,1,596,5,1,100,2000,0.8124,0.03283371,0,0,NaN,NaN,NaN,1,0,0,1,0
17,1,0,0,200,266,1,588,5,1,100,2000,0.8361,0.028158,0,0,NaN,NaN,NaN,1,0,0,1,0
18,1,0,0,200,258,1,591,5,1,100,2000,0.8537,0.02593904,0,0,NaN,NaN,NaN,1,0,0,1,0
19,1,0,0,200,255,1,591,5,1,100,2000,0.8644,0.02346851,0,0,NaN,NaN,NaN,1,0,0,1,0
20,1,0,0,200,244,1,588,5,1,100,2000,0.8699,0.02217396,0,0,NaN,NaN,NaN,1,0,0,1,0
21,0.04,0.96,0,200,253,1,598,5,0.8,100,2000,0.8751,0.020609,0.0768,0.0768,NaN,NaN,NaN,0.04,0.96,0,0.04,0.96
22,1,0,0,200,254,1,596,5,1,100,2000,0.8787,0.02013804,0,0,NaN,NaN,NaN,1,0,0,1,0
