Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,22,1,222,5,1,100,2000,0.436203966666667,0.0230456462833643,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,32,1,232,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.07,0.01,0.92,200,43,1,243,5,0.8,100,2000,0.456597,0.024689109291,0.995,0.0796,NaN,NaN,NaN,0.07,0.01,0.92,0.07,0.01
3,0.06,0.03,0.91,200,36,1,239,5,1,100,2000,0.466897,0.025258141091,0.9955,0.089595,NaN,NaN,NaN,0.06,0.03,0.91,0.06,0.03
4,0.1,0.03,0.87,200,65,1,269,5,0.8,100,2000,0.481698,0.028349066596,0.9891,0.128583,NaN,NaN,NaN,0.1,0.03,0.87,0.1,0.03
5,0.09,0.05,0.86,200,50,1,254,5,0.6,100,2000,0.490398,0.028552451396,0.9894,0.138516,NaN,NaN,NaN,0.09,0.05,0.86,0.09,0.05
6,0.14,0,0.86,200,50,1,253,5,1,100,2000,0.504199,0.029276998299,0.9804,0.137256,NaN,NaN,NaN,0.14,0,0.86,0.14,0
7,0.17,0,0.83,200,52,1,256,5,1,100,2000,0.517199,0.031763424299,0.9711,0.165087,NaN,NaN,NaN,0.17,0,0.83,0.17,0
8,0.14,0.01,0.85,200,71,1,276,5,1,100,2000,0.5308,0.03221251,0.9803,0.147045,NaN,NaN,NaN,0.14,0.01,0.85,0.14,0.01
9,0.15,0.11,0.74,200,93,1,308,5,1,100,2000,0.5532,0.03486539,0.9654,0.251004,NaN,NaN,NaN,0.15,0.11,0.74,0.15,0.11
10,0.22,0.11,0.67,200,97,1,314,5,0.8,100,2000,0.5821,0.03969,0.9395,0.310035,NaN,NaN,NaN,0.22,0.11,0.67,0.22,0.11
11,0.17,0.11,0.72,200,105,1,314,5,1,100,2000,0.6044,0.04157451,0.959,0.26852,NaN,NaN,NaN,0.17,0.11,0.72,0.17,0.11
12,0.27,0.21,0.52,200,159,1,384,5,1,100,2000,0.6315,0.04439404,0.883,0.42384,NaN,NaN,NaN,0.27,0.21,0.52,0.27,0.21
13,0.72,0,0.28,200,236,1,498,5,1,100,2000,0.665,0.04459499,0.4816,0.346752,NaN,NaN,NaN,0.72,0,0.28,0.72,0
14,0.27,0.33,0.4,200,193,1,440,5,1,100,2000,0.7076,0.03972475,0.8182,0.49092,NaN,NaN,NaN,0.27,0.33,0.4,0.27,0.33
15,0.7,0.1,0.2,200,244,1,503,5,1,100,2000,0.7358,0.03931451,0.5,0.4,NaN,NaN,NaN,0.7,0.1,0.2,0.7,0.1
16,0.75,0,0.25,200,210,1,489,5,1,100,2000,0.7547,0.03660884,0.4375,0.328125,NaN,NaN,NaN,0.75,0,0.25,0.75,0
17,0.92,0,0.08,200,254,1,564,5,1,100,2000,0.7739,0.03435156,0.1536,0.141312,NaN,NaN,NaN,0.92,0,0.08,0.92,0
18,0.97,0,0.03,200,258,1,581,5,1,100,2000,0.8003,0.03147796,0.0591,0.057327,NaN,NaN,NaN,0.97,0,0.03,0.97,0
19,0.05,0.93,0.02,200,287,1,603,5,1,100,2000,0.8134,0.03031011,0.1326,0.129948,NaN,NaN,NaN,0.05,0.93,0.02,0.05,0.93
20,1,0,0,200,259,1,588,5,1,100,2000,0.8224,0.02977371,0,0,NaN,NaN,NaN,1,0,0,1,0
21,0.04,0.95,0.01,200,273,1,596,5,0.8,100,2000,0.8273,0.03057016,0.0959,0.094941,NaN,NaN,NaN,0.04,0.95,0.01,0.04,0.95
22,0.98,0,0.02,200,275,1,596,5,1,100,2000,0.8122,0.03244659,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
23,0.98,0,0.02,200,266,1,586,5,1,100,2000,0.8129,0.03251216,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
24,0.99,0,0.01,200,264,1,584,5,1,100,2000,0.8072,0.03308659,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
25,0.98,0,0.02,200,269,1,586,5,1,100,2000,0.803,0.03347459,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
26,0.99,0,0.01,200,264,1,587,5,1,100,2000,0.8031,0.033293,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
27,0.95,0,0.05,200,266,1,580,5,1,100,2000,0.7872,0.03458059,0.0975,0.092625,NaN,NaN,NaN,0.95,0,0.05,0.95,0
28,0.98,0,0.02,200,268,1,581,5,1,100,2000,0.7846,0.03528275,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
29,0.99,0,0.01,200,276,1,587,5,1,100,2000,0.7849,0.03399696,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
30,0.7,0,0.3,200,213,1,493,5,1,100,2000,0.7699,0.03694796,0.51,0.357,NaN,NaN,NaN,0.7,0,0.3,0.7,0
31,0.05,0.89,0.06,200,290,1,592,5,1,100,2000,0.775,0.03468299,0.2054,0.193076,NaN,NaN,NaN,0.05,0.89,0.06,0.05,0.89
32,0.05,0,0.95,200,29,1,229,5,1,100,2000,0.7509,0.03600536,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
33,0.92,0,0.08,200,260,1,563,5,1,100,2000,0.7583,0.03386076,0.1536,0.141312,NaN,NaN,NaN,0.92,0,0.08,0.92,0
34,0.86,0,0.14,200,246,1,544,5,1,100,2000,0.7589,0.03504056,0.2604,0.223944,NaN,NaN,NaN,0.86,0,0.14,0.86,0
35,0.05,0,0.95,200,33,1,233,5,1,100,2000,0.7405,0.03392384,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
36,0.05,0.73,0.22,200,248,1,527,5,1,100,2000,0.7472,0.03272459,0.4646,0.362388,NaN,NaN,NaN,0.05,0.73,0.22,0.05,0.73
37,0.65,0,0.35,200,215,1,486,5,1,100,2000,0.73,0.03182499,0.5775,0.375375,NaN,NaN,NaN,0.65,0,0.35,0.65,0
38,0.04,0.54,0.42,200,197,1,458,5,0.8,100,2000,0.7153,0.03345696,0.7068,0.409944,NaN,NaN,NaN,0.04,0.54,0.42,0.04,0.54
39,0.12,0.01,0.87,200,43,1,250,5,0.8,100,2000,0.7211,0.032535,0.9855,0.128115,NaN,NaN,NaN,0.12,0.01,0.87,0.12,0.01
40,0.05,0.01,0.94,200,33,1,233,5,0.8,100,2000,0.73,0.03250499,0.9974,0.0598440000000001,NaN,NaN,NaN,0.05,0.01,0.94,0.05,0.01
41,0.95,0,0.05,200,287,1,575,5,1,100,2000,0.7363,0.03050356,0.0975,0.092625,NaN,NaN,NaN,0.95,0,0.05,0.95,0
42,0.92,0,0.08,200,292,1,573,5,1,100,2000,0.7195,0.02896764,0.1536,0.141312,NaN,NaN,NaN,0.92,0,0.08,0.92,0
43,0.05,0.01,0.94,200,31,1,231,5,0.8,100,2000,0.7078,0.03081571,0.9974,0.0598440000000001,NaN,NaN,NaN,0.05,0.01,0.94,0.05,0.01
44,0.06,0.75,0.19,200,276,1,541,5,1,100,2000,0.7187,0.02795804,0.4339,0.351459,NaN,NaN,NaN,0.06,0.75,0.19,0.06,0.75
45,0.07,0.58,0.35,200,234,1,491,5,1,100,2000,0.7085,0.02857344,0.6587,0.428155,NaN,NaN,NaN,0.07,0.58,0.35,0.07,0.58
46,0.06,0,0.94,200,31,1,231,5,1,100,2000,0.6979,0.02914716,0.9964,0.0597840000000001,NaN,NaN,NaN,0.06,0,0.94,0.06,0
47,0.15,0,0.85,200,52,1,257,5,1,100,2000,0.7045,0.02745864,0.9775,0.146625,NaN,NaN,NaN,0.15,0,0.85,0.15,0
