Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.04,0.01,0.95,200,16,1,216,5,0.8,100,2000,0.439442383333333,0.0246911626755697,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
1,0.04,0.01,0.95,200,26,1,226,5,0.8,100,2000,0.444298,0.023440036996,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
2,0.06,0.02,0.92,200,21,1,222,5,0.8,100,2000,0.454597,0.025591117291,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
3,0.06,0.02,0.92,200,24,1,225,5,0.8,100,2000,0.461097,0.026315386291,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
4,0.06,0.02,0.92,200,21,1,222,5,0.8,100,2000,0.470399,0.026905850699,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
5,0.05,0.05,0.9,200,33,1,236,5,0.8,100,2000,0.476799,0.028185063499,0.995,0.0995,0,0.087,0.913,0.0649,0.039,0.8961,0.05,0.05
6,0.09,0.02,0.89,200,38,1,247,5,0.8,100,2000,0.490199,0.031853970299,0.9915,0.109065,0,0.087,0.913,0.1169,0,0.8831,0.09,0.02
7,0.1,0.02,0.88,200,38,1,243,5,0.8,100,2000,0.498199,0.031232386299,0.9896,0.118752,0,0.087,0.913,0.1299,0,0.8701,0.1,0.02
8,0.15,0.02,0.83,200,49,1,257,5,0.8,100,2000,0.508599,0.033127767099,0.9771,0.166107,0,0.087,0.913,0.1948,0,0.8052,0.15,0.02
9,0.07,0.1,0.83,200,53,1,261,5,0.8,100,2000,0.520599,0.033695791099,0.9851,0.167467,0,0.087,0.913,0.0909,0.1039,0.8052,0.07,0.1
10,0.17,0.03,0.8,200,56,1,267,5,0.8,100,2000,0.533299,0.037370826499,0.9702,0.19404,0,0.087,0.913,0.2208,0.013,0.7662,0.17,0.03
11,0.22,0.02,0.76,200,73,1,288,5,0.8,100,2000,0.543799,0.039128397499,0.9512,0.228288,0,0.087,0.913,0.2857,0,0.7143,0.22,0.02
12,0.23,0.04,0.73,200,87,1,301,5,0.8,100,2000,0.559899,0.042097079699,0.9455,0.255285,0,0.1739,0.8261,0.2987,0,0.7013,0.23,0.04
