Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.04,0.01,0.95,200,25,1,225,5,0.8,100,2000,0.434443917148263,0.0234995465559369,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
1,0.05,0.02,0.93,200,20,1,220,5,0.8,100,2000,0.444298,0.023440036996,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
2,0.06,0.02,0.92,200,27,1,228,5,0.8,100,2000,0.453797,0.024589672491,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
3,0.06,0.02,0.92,200,24,1,225,5,0.8,100,2000,0.460497,0.025354222691,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
4,0.08,0.02,0.9,200,25,1,228,5,0.8,100,2000,0.470499,0.026436780899,0.9932,0.09932,0,0.087,0.913,0.1039,0,0.8961,0.08,0.02
5,0.09,0.02,0.89,200,28,1,234,5,0.8,100,2000,0.481799,0.028801073499,0.9915,0.109065,0,0.087,0.913,0.1169,0,0.8831,0.09,0.02
6,0.13,0.03,0.84,200,49,1,255,5,0.8,100,2000,0.495699,0.032857631299,0.9822,0.157152,0,0.087,0.913,0.1688,0.013,0.8182,0.13,0.03
7,0.16,0.03,0.81,200,58,1,267,5,0.8,100,2000,0.506799,0.034685123499,0.9735,0.184965,0,0.1304,0.8696,0.2078,0,0.7922,0.16,0.03
8,0.22,0.04,0.74,200,91,1,302,5,0.6,100,2000,0.521499,0.037495082899,0.95,0.247,0,0.1304,0.8696,0.2857,0.013,0.7013,0.22,0.04
9,0.25,0.05,0.7,200,86,1,308,5,0.8,100,2000,0.549099,0.041684098099,0.935,0.2805,0,0.1739,0.8261,0.3247,0.013,0.6623,0.25,0.05
10,0.29,0.04,0.67,200,88,1,312,5,0.8,100,2000,0.567799,0.044980845499,0.9143,0.301719,0,0.1739,0.8261,0.3766,0,0.6234,0.29,0.04
11,0.3,0.05,0.65,200,99,1,321,5,0.8,100,2000,0.586499,0.050214212899,0.9075,0.317625,0,0.2174,0.7826,0.3896,0,0.6104,0.3,0.05
12,0.35,0.07,0.58,200,136,1,365,5,0.8,100,2000,0.611999,0.052518613899,0.8726,0.366492,0,0.3043,0.6957,0.4545,0,0.5455,0.35,0.07
13,0.36,0.11,0.53,200,150,1,386,5,0.8,100,2000,0.647999,0.049663825899,0.8583,0.403401,0,0.4783,0.5217,0.4675,0,0.5325,0.36,0.11
14,0.49,0.11,0.4,200,174,1,428,5,0.8,100,2000,0.688999,0.049608947899,0.7478,0.44868,0,0.4783,0.5217,0.6364,0,0.3636,0.49,0.11
15,0.35,0.19,0.46,200,140,1,391,5,0.8,100,2000,0.718299,0.048325956499,0.8414,0.454356,0,0.5652,0.4348,0.4545,0.0779,0.4675,0.35,0.19
16,0.53,0.16,0.31,200,208,1,468,5,0.8,100,2000,0.738799,0.044684487499,0.6935,0.478515,0,0.6957,0.3043,0.6883,0,0.3117,0.53,0.16
17,0.11,0.6,0.29,200,216,1,474,5,0.8,100,2000,0.765999,0.040689401899,0.6279,0.445809,0,0.7391,0.2609,0.1429,0.5584,0.2987,0.11,0.6
18,0.94,0.01,0.05,200,273,1,577,5,0.8,100,2000,0.7901,0.036036,0.1163,0.110485,0.9565,0.0435,0,0.9351,0,0.0649,0.94,0.01
19,0.99,0.01,0,200,274,1,590,5,0.8,100,2000,0.8203,0.02899996,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
20,0.04,0.95,0.01,200,266,1,595,5,0.8,100,2000,0.8338,0.02564131,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
21,0.99,0.01,0,200,248,1,590,5,0.8,100,2000,0.8548,0.02084691,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
22,0.99,0.01,0,200,246,1,588,5,0.8,100,2000,0.8682,0.01874339,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
23,0.99,0.01,0,200,249,1,588,5,0.8,100,2000,0.8764,0.01778931,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
24,0.03,0.96,0.01,200,245,1,591,5,0.6,100,2000,0.8791,0.017591,0.0775,0.076725,0,1,0,0.039,0.9481,0.013,0.03,0.96
25,0.99,0.01,0,200,253,1,596,5,0.8,100,2000,0.8796,0.01708275,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
26,0.99,0.01,0,200,248,1,590,5,0.8,100,2000,0.8799,0.01678396,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
27,0.99,0.01,0,200,254,1,598,5,0.8,100,2000,0.876,0.01645619,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
28,0.99,0.01,0,200,241,1,590,5,0.8,100,2000,0.8763,0.01623356,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
29,0.99,0.01,0,200,242,1,590,5,0.8,100,2000,0.877,0.01560139,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
30,0.99,0.01,0,200,243,1,588,5,0.8,100,2000,0.8776,0.01515475,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
31,0.99,0.01,0,200,239,1,588,5,0.8,100,2000,0.8783,0.01466076,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
32,0.99,0.01,0,200,235,1,591,5,0.8,100,2000,0.8793,0.01407536,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
33,0.99,0.01,0,200,238,1,590,5,0.8,100,2000,0.8801,0.01374,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
34,0.04,0.94,0.02,200,255,1,589,5,0.8,100,2000,0.8705,0.01526984,0.1148,0.112504,0,1,0,0.0519,0.9221,0.026,0.04,0.94
35,0.03,0.97,0,200,267,1,598,5,0.6,100,2000,0.8716,0.01550275,0.0582,0.0582,0,1,0,0.039,0.961,0,0.03,0.97
36,0.99,0.01,0,200,241,1,590,5,0.8,100,2000,0.8716,0.01550275,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
37,0.99,0.01,0,200,242,1,588,5,0.8,100,2000,0.8716,0.01550275,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
38,0.99,0.01,0,200,236,1,590,5,0.8,100,2000,0.8716,0.01550275,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
39,0.99,0.01,0,200,239,1,590,5,0.8,100,2000,0.8716,0.01550275,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
40,0.94,0.01,0.05,200,235,1,573,5,0.8,100,2000,0.8571,0.018973,0.1163,0.110485,0.9565,0.0435,0,0.9351,0,0.0649,0.94,0.01
41,0.04,0.95,0.01,200,264,1,595,5,0.8,100,2000,0.8637,0.01725504,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
42,0.04,0.96,0,200,259,1,604,5,0.8,100,2000,0.8637,0.01725504,0.0768,0.0768,0,1,0,0.0519,0.9481,0,0.04,0.96
43,0.98,0.02,0,200,250,1,594,5,0.6,100,2000,0.8637,0.01725504,0.0392000000000001,0.0392000000000001,0.9565,0.0435,0,0.987,0.013,0,0.98,0.02
44,0.04,0.95,0.01,200,262,1,593,5,0.8,100,2000,0.8637,0.01725504,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
45,0.99,0.01,0,200,242,1,590,5,0.8,100,2000,0.865,0.01704899,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
46,0.99,0.01,0,200,244,1,590,5,0.8,100,2000,0.865,0.01704899,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
47,0.76,0.15,0.09,200,240,1,569,5,0.8,100,2000,0.8508,0.02025851,0.3999,0.363909,0.9565,0.0435,0,0.7013,0.1818,0.1169,0.76,0.15
48,0.07,0.73,0.2,200,209,1,525,5,0.8,100,2000,0.8571,0.019381,0.4622,0.36976,0,1,0,0.0909,0.6494,0.2597,0.07,0.73
49,0.99,0.01,0,200,249,1,590,5,0.8,100,2000,0.8609,0.01804136,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
50,0.99,0.01,0,200,250,1,594,5,0.8,100,2000,0.8603,0.01837796,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
51,0.03,0.94,0.03,200,256,1,583,5,0.6,100,2000,0.859,0.01935179,0.1155,0.112035,0,1,0,0.039,0.9221,0.039,0.03,0.94
52,0.99,0.01,0,200,244,1,590,5,0.8,100,2000,0.8615,0.01792004,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
53,0.99,0.01,0,200,248,1,590,5,0.8,100,2000,0.863,0.01732859,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
54,0.27,0.73,0,200,266,1,593,5,0.8,100,2000,0.8513,0.01866256,0.3942,0.3942,0,1,0,0.3506,0.6494,0,0.27,0.73
55,0.99,0.01,0,200,252,1,590,5,0.8,100,2000,0.8382,0.02014139,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
56,0.06,0.73,0.21,200,205,1,524,5,0.8,100,2000,0.8323,0.02227916,0.4635,0.366165,0,1,0,0.0779,0.6494,0.2727,0.06,0.73
57,0.05,0.89,0.06,200,243,1,572,5,0.6,100,2000,0.8358,0.02044851,0.2054,0.193076,0,1,0,0.0649,0.8571,0.0779,0.05,0.89
58,0.76,0.04,0.2,200,199,1,528,5,0.8,100,2000,0.8362,0.02027579,0.4208,0.33664,0.9565,0.0435,0,0.7013,0.039,0.2597,0.76,0.04
59,0.99,0.01,0,200,252,1,592,5,0.8,100,2000,0.8439,0.01820756,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
60,0.05,0.89,0.06,200,247,1,578,5,0.8,100,2000,0.8412,0.01843779,0.2054,0.193076,0,1,0,0.0649,0.8571,0.0779,0.05,0.89
61,0.11,0.87,0.02,200,257,1,589,5,0.8,100,2000,0.8398,0.01897091,0.231,0.22638,0,1,0,0.1429,0.8312,0.026,0.11,0.87
62,0.99,0.01,0,200,243,1,590,5,0.8,100,2000,0.8407,0.01907364,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
63,0.15,0.73,0.12,200,221,1,546,5,0.8,100,2000,0.8406,0.01908875,0.4446,0.391248,0,1,0,0.1948,0.6494,0.1558,0.15,0.73
64,0.04,0.96,0,200,266,1,600,5,0.8,100,2000,0.8434,0.01814011,0.0768,0.0768,0,1,0,0.0519,0.9481,0,0.04,0.96
65,0.03,0.97,0,200,263,1,596,5,0.6,100,2000,0.8391,0.019169,0.0582,0.0582,0,1,0,0.039,0.961,0,0.03,0.97
66,0.05,0.85,0.1,200,234,1,558,5,0.8,100,2000,0.8365,0.02006704,0.275,0.2475,0,1,0,0.0649,0.8052,0.1299,0.05,0.85
67,0.17,0.73,0.1,200,245,1,565,5,0.8,100,2000,0.8329,0.02046416,0.4382,0.39438,0,1,0,0.2208,0.6494,0.1299,0.17,0.73
68,0.17,0.73,0.1,200,232,1,551,5,0.8,100,2000,0.8314,0.02017131,0.4382,0.39438,0,1,0,0.2208,0.6494,0.1299,0.17,0.73
69,0.97,0.01,0.02,200,253,1,584,5,0.8,100,2000,0.8278,0.02045971,0.0590000000000001,0.0578200000000001,0.913,0.0435,0.0435,0.987,0,0.013,0.97,0.01
70,0.13,0.73,0.14,200,221,1,542,5,0.8,100,2000,0.8321,0.019404,0.4502,0.387172,0,1,0,0.1688,0.6494,0.1818,0.13,0.73
71,0.99,0.01,0,200,247,1,590,5,0.8,100,2000,0.8364,0.01828931,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
72,0.13,0.85,0.02,200,261,1,588,5,0.8,100,2000,0.8397,0.01795384,0.2606,0.255388,0,1,0,0.1688,0.8052,0.026,0.13,0.85
73,0.13,0.85,0.02,200,262,1,589,5,0.8,100,2000,0.8397,0.01795384,0.2606,0.255388,0,1,0,0.1688,0.8052,0.026,0.13,0.85
74,0.98,0.01,0.01,200,252,1,586,5,0.8,100,2000,0.8328,0.01915771,0.0395000000000001,0.0391050000000001,0.913,0.0435,0.0435,1,0,0,0.98,0.01
75,0.19,0.73,0.08,200,245,1,567,5,0.8,100,2000,0.8245,0.02068064,0.431,0.39652,0,1,0,0.2468,0.6494,0.1039,0.19,0.73
76,0.99,0.01,0,200,257,1,588,5,0.8,100,2000,0.8233,0.02064776,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
77,0.13,0.73,0.14,200,226,1,546,5,0.8,100,2000,0.8178,0.02233771,0.4502,0.387172,0,1,0,0.1688,0.6494,0.1818,0.13,0.73
78,0.04,0.88,0.08,200,245,1,569,5,0.6,100,2000,0.8206,0.02175475,0.224,0.20608,0,1,0,0.0519,0.8442,0.1039,0.04,0.88
79,0.04,0.95,0.01,200,271,1,604,5,0.8,100,2000,0.8276,0.02048675,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
80,0.96,0.02,0.02,200,254,1,583,5,0.8,100,2000,0.81,0.02169099,0.0780000000000001,0.0764400000000001,0.913,0.087,0,0.974,0,0.026,0.96,0.02
81,0.13,0.01,0.86,200,41,1,244,5,0.8,100,2000,0.8003,0.02366396,0.983,0.13762,0,0.0435,0.9565,0.1688,0,0.8312,0.13,0.01
82,0.02,0.98,0,200,274,1,593,5,0.4,100,2000,0.8032,0.02319739,0.0392000000000001,0.0392000000000001,0,1,0,0.026,0.974,0,0.02,0.98
83,0.13,0.74,0.13,200,241,1,545,5,0.8,100,2000,0.8034,0.02329211,0.4355,0.378885,0,1,0,0.1688,0.6623,0.1688,0.13,0.74
84,0.12,0.86,0.02,200,286,1,583,5,0.6,100,2000,0.8074,0.02136571,0.246,0.24108,0,1,0,0.1558,0.8182,0.026,0.12,0.86
85,0.96,0.01,0.03,200,263,1,581,5,0.8,100,2000,0.8025,0.02232624,0.0783,0.075951,0.8261,0.0435,0.1304,1,0,0,0.96,0.01
86,0.98,0.02,0,200,251,1,588,5,0.8,100,2000,0.8055,0.02162684,0.0392000000000001,0.0392000000000001,0.913,0.087,0,1,0,0,0.98,0.02
87,0.02,0.98,0,200,280,1,596,5,0.4,100,2000,0.7965,0.02438504,0.0392000000000001,0.0392000000000001,0,1,0,0.026,0.974,0,0.02,0.98
88,0.08,0.02,0.9,200,31,1,234,5,0.6,100,2000,0.7806,0.02509675,0.9932,0.09932,0,0.0435,0.9565,0.1039,0.013,0.8831,0.08,0.02
89,0.11,0.02,0.87,200,46,1,249,5,0.8,100,2000,0.7846,0.02261275,0.9875,0.128375,0,0.087,0.913,0.1429,0,0.8571,0.11,0.02
90,0.04,0.91,0.05,200,265,1,574,5,0.4,100,2000,0.7953,0.02130296,0.1703,0.161785,0,1,0,0.0519,0.8831,0.0649,0.04,0.91
