Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.04,0.01,0.95,200,25,1,225,5,0.8,100,2000,0.434727856127451,0.023528750505852,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
1,0.05,0.02,0.93,200,20,1,220,5,0.8,100,2000,0.444298,0.023440036996,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
2,0.06,0.02,0.92,200,27,1,228,5,0.8,100,2000,0.453797,0.024589672491,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
3,0.06,0.02,0.92,200,24,1,225,5,0.8,100,2000,0.460497,0.025354222691,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
4,0.08,0.02,0.9,200,25,1,228,5,0.8,100,2000,0.470499,0.026436780899,0.9932,0.09932,0,0.087,0.913,0.1039,0,0.8961,0.08,0.02
5,0.09,0.02,0.89,200,28,1,234,5,0.8,100,2000,0.481799,0.028801073499,0.9915,0.109065,0,0.087,0.913,0.1169,0,0.8831,0.09,0.02
6,0.13,0.03,0.84,200,49,1,255,5,0.8,100,2000,0.495499,0.032747830899,0.9822,0.157152,0,0.087,0.913,0.1688,0.013,0.8182,0.13,0.03
7,0.16,0.02,0.82,200,55,1,263,5,0.8,100,2000,0.505099,0.033464010099,0.974,0.17532,0,0.087,0.913,0.2078,0,0.7922,0.16,0.02
8,0.22,0.04,0.74,200,91,1,302,5,0.6,100,2000,0.520099,0.037621040099,0.95,0.247,0,0.1304,0.8696,0.2857,0.013,0.7013,0.22,0.04
9,0.25,0.04,0.71,200,84,1,306,5,0.8,100,2000,0.545499,0.040783930899,0.9359,0.271411,0,0.1304,0.8696,0.3247,0.013,0.6623,0.25,0.04
10,0.29,0.04,0.67,200,88,1,312,5,0.8,100,2000,0.564899,0.044772089699,0.9143,0.301719,0,0.1739,0.8261,0.3766,0,0.6234,0.29,0.04
11,0.3,0.05,0.65,200,99,1,321,5,0.8,100,2000,0.584599,0.049999919099,0.9075,0.317625,0,0.2174,0.7826,0.3896,0,0.6104,0.3,0.05
12,0.35,0.05,0.6,200,130,1,359,5,0.8,100,2000,0.608799,0.052044527499,0.875,0.35,0,0.2174,0.7826,0.4545,0,0.5455,0.35,0.05
13,0.36,0.08,0.56,200,143,1,375,5,0.8,100,2000,0.641199,0.048477012299,0.864,0.38016,0,0.3478,0.6522,0.4675,0,0.5325,0.36,0.08
14,0.49,0.11,0.4,200,175,1,428,5,0.8,100,2000,0.682799,0.048908855499,0.7478,0.44868,0,0.4783,0.5217,0.6364,0,0.3636,0.49,0.11
15,0.35,0.18,0.47,200,143,1,389,5,0.8,100,2000,0.713199,0.048230576299,0.8451,0.447903,0,0.5217,0.4783,0.4545,0.0779,0.4675,0.35,0.18
16,0.53,0.15,0.32,200,206,1,465,5,0.8,100,2000,0.734199,0.045481358299,0.6966,0.473688,0,0.6522,0.3478,0.6883,0,0.3117,0.53,0.15
17,0.5,0.27,0.23,200,230,1,496,5,0.8,100,2000,0.761399,0.041878512699,0.6771,0.521367,0,0.7391,0.2609,0.6494,0.1299,0.2208,0.5,0.27
18,0.92,0.01,0.07,200,267,1,571,5,0.8,100,2000,0.7862,0.03654379,0.1535,0.142755,0.9565,0.0435,0,0.9091,0,0.0909,0.92,0.01
19,0.99,0.01,0,200,285,1,590,5,0.8,100,2000,0.8117,0.03006344,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
20,0.04,0.95,0.01,200,268,1,595,5,0.8,100,2000,0.8279,0.02581116,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
21,0.99,0.01,0,200,252,1,590,5,0.8,100,2000,0.8482,0.02168139,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
22,0.99,0.01,0,200,246,1,588,5,0.8,100,2000,0.8622,0.01878059,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
23,0.99,0.01,0,200,252,1,588,5,0.8,100,2000,0.8586,0.01989475,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
24,0.04,0.94,0.02,200,257,1,593,5,0.8,100,2000,0.8617,0.02007744,0.1148,0.112504,0,1,0,0.0519,0.9221,0.026,0.04,0.94
25,0.99,0.01,0,200,255,1,596,5,0.8,100,2000,0.8644,0.01926451,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
26,0.99,0.01,0,200,254,1,590,5,0.8,100,2000,0.8647,0.01897484,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
27,0.94,0.01,0.05,200,247,1,583,5,0.8,100,2000,0.8507,0.02175964,0.1163,0.110485,0.9565,0.0435,0,0.9351,0,0.0649,0.94,0.01
28,0.99,0.01,0,200,254,1,590,5,0.8,100,2000,0.8576,0.01991475,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
29,0.13,0.85,0.02,200,260,1,586,5,0.8,100,2000,0.8583,0.01930876,0.2606,0.255388,0,1,0,0.1688,0.8052,0.026,0.13,0.85
30,0.99,0.01,0,200,247,1,588,5,0.8,100,2000,0.8597,0.01875784,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
31,0.99,0.01,0,200,243,1,588,5,0.8,100,2000,0.8604,0.01828891,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
32,0.03,0.74,0.23,200,185,1,509,5,0.6,100,2000,0.8482,0.02130939,0.4515,0.347655,0,1,0,0.039,0.6623,0.2987,0.03,0.74
33,0.99,0.01,0,200,251,1,590,5,0.8,100,2000,0.8551,0.019573,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
34,0.06,0.87,0.07,200,241,1,569,5,0.8,100,2000,0.8546,0.02048075,0.2395,0.222735,0,1,0,0.0779,0.8312,0.0909,0.06,0.87
35,0.03,0.9,0.07,200,250,1,575,5,0.6,100,2000,0.8559,0.02013236,0.1891,0.175863,0,1,0,0.039,0.8701,0.0909,0.03,0.9
36,0.05,0.74,0.21,200,204,1,517,5,0.6,100,2000,0.8477,0.01949624,0.4499,0.355421,0,1,0,0.0649,0.6623,0.2727,0.05,0.74
37,0.99,0.01,0,200,247,1,588,5,0.8,100,2000,0.8512,0.01853779,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
38,0.98,0.01,0.01,200,237,1,585,5,0.8,100,2000,0.8438,0.01848931,0.0395000000000001,0.0391050000000001,0.9565,0.0435,0,0.987,0,0.013,0.98,0.01
39,0.99,0.01,0,200,253,1,590,5,0.8,100,2000,0.8434,0.01805611,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
40,0.09,0.73,0.18,200,213,1,528,5,0.8,100,2000,0.8344,0.02111051,0.459,0.37638,0,1,0,0.1169,0.6494,0.2338,0.09,0.73
41,0.06,0.9,0.04,200,255,1,582,5,0.8,100,2000,0.8412,0.01907779,0.1864,0.178944,0,1,0,0.0779,0.8701,0.0519,0.06,0.9
42,0.04,0.96,0,200,264,1,604,5,0.8,100,2000,0.840499999999999,0.01964384,0.0768,0.0768,0,1,0,0.0519,0.9481,0,0.04,0.96
43,0.03,0.97,0,200,271,1,604,5,0.6,100,2000,0.840499999999999,0.01964384,0.0582,0.0582,0,1,0,0.039,0.961,0,0.03,0.97
44,0.09,0.83,0.08,200,239,1,563,5,0.8,100,2000,0.834,0.02156579,0.303,0.27876,0,1,0,0.1169,0.7792,0.1039,0.09,0.83
45,0.95,0.01,0.04,200,244,1,580,5,0.8,100,2000,0.8249,0.02251096,0.0974,0.093504,0.913,0.0435,0.0435,0.961,0,0.039,0.95,0.01
46,0.04,0.96,0,200,273,1,601,5,0.8,100,2000,0.8269,0.02214776,0.0768,0.0768,0,1,0,0.0519,0.9481,0,0.04,0.96
47,0.03,0.97,0,200,278,1,607,5,0.6,100,2000,0.8291,0.021959,0.0582,0.0582,0,1,0,0.039,0.961,0,0.03,0.97
48,0.1,0.73,0.17,200,215,1,536,5,0.8,100,2000,0.8226,0.02373275,0.4571,0.379393,0,1,0,0.1299,0.6494,0.2208,0.1,0.73
49,0.05,0.83,0.12,200,241,1,559,5,0.6,100,2000,0.8196,0.02375275,0.3086,0.271568,0,1,0,0.0649,0.7792,0.1558,0.05,0.83
50,0.84,0.02,0.14,200,209,1,538,5,0.6,100,2000,0.8149,0.02459296,0.294,0.25284,0.913,0.0435,0.0435,0.8182,0.013,0.1688,0.84,0.02
51,0.15,0.73,0.12,200,230,1,557,5,0.8,100,2000,0.8202,0.02320499,0.4446,0.391248,0,1,0,0.1948,0.6494,0.1558,0.15,0.73
52,0.79,0.04,0.17,200,211,1,536,5,0.8,100,2000,0.8222,0.02209259,0.3743,0.310669,0.913,0.0435,0.0435,0.7532,0.039,0.2078,0.79,0.04
53,0.06,0.89,0.05,200,256,1,578,5,0.8,100,2000,0.8297,0.01990184,0.2043,0.194085,0,1,0,0.0779,0.8571,0.0649,0.06,0.89
54,0.15,0.73,0.12,200,228,1,549,5,0.8,100,2000,0.8174,0.02032571,0.4446,0.391248,0,1,0,0.1948,0.6494,0.1558,0.15,0.73
55,0.97,0.01,0.02,200,245,1,584,5,0.8,100,2000,0.816,0.02079819,0.0590000000000001,0.0578200000000001,0.913,0.0435,0.0435,0.987,0,0.013,0.97,0.01
56,0.98,0.01,0.01,200,255,1,586,5,0.8,100,2000,0.8181,0.019888,0.0395000000000001,0.0391050000000001,0.913,0.0435,0.0435,1,0,0,0.98,0.01
57,0.93,0.01,0.06,200,248,1,576,5,0.8,100,2000,0.8071,0.019757,0.135,0.1269,0.9565,0.0435,0,0.9221,0,0.0779,0.93,0.01
58,0.04,0.93,0.03,200,267,1,587,5,0.8,100,2000,0.7867,0.02014044,0.1335,0.129495,0,1,0,0.0519,0.9091,0.039,0.04,0.93
59,0.06,0.01,0.93,200,25,1,226,5,0.8,100,2000,0.7773,0.02287016,0.9963,0.0697409999999999,0,0.0435,0.9565,0.0779,0,0.9221,0.06,0.01
60,0.13,0.02,0.85,200,45,1,250,5,0.8,100,2000,0.782,0.02196139,0.9827,0.147405,0,0.087,0.913,0.1688,0,0.8312,0.13,0.02
61,0.15,0.02,0.83,200,50,1,257,5,0.8,100,2000,0.788,0.02068659,0.9771,0.166107,0,0.087,0.913,0.1948,0,0.8052,0.15,0.02
62,0.94,0.01,0.05,200,252,1,578,5,0.8,100,2000,0.7917,0.02040344,0.1163,0.110485,0.8696,0.0435,0.087,0.961,0,0.039,0.94,0.01
63,0.2,0.73,0.07,200,248,1,566,5,0.8,100,2000,0.7937,0.02054904,0.4271,0.397203,0,1,0,0.2597,0.6494,0.0909,0.2,0.73
64,0.04,0.94,0.02,200,261,1,592,5,0.8,100,2000,0.7961,0.020364,0.1148,0.112504,0,1,0,0.0519,0.9221,0.026,0.04,0.94
65,0.03,0.97,0,200,266,1,596,5,0.6,100,2000,0.797,0.02003939,0.0582,0.0582,0,1,0,0.039,0.961,0,0.03,0.97
66,0.05,0.85,0.1,200,255,1,563,5,0.8,100,2000,0.7696,0.02076675,0.275,0.2475,0,1,0,0.0649,0.8052,0.1299,0.05,0.85
67,0.06,0.73,0.21,200,245,1,529,5,0.8,100,2000,0.7569,0.02227976,0.4635,0.366165,0,1,0,0.0779,0.6494,0.2727,0.06,0.73
68,0.15,0.02,0.83,200,46,1,253,5,0.8,100,2000,0.7565,0.02383104,0.9771,0.166107,0,0.087,0.913,0.1948,0,0.8052,0.15,0.02
69,0.15,0.21,0.64,200,105,1,323,5,0.8,100,2000,0.7581,0.023498,0.9334,0.336024,0,0.913,0.087,0.1948,0,0.8052,0.15,0.21
70,0.95,0.01,0.04,200,272,1,577,5,0.8,100,2000,0.7641,0.021776,0.0974,0.093504,0.7826,0.0435,0.1739,1,0,0,0.95,0.01
71,0.97,0.01,0.02,200,275,1,583,5,0.8,100,2000,0.7658,0.02337451,0.0590000000000001,0.0578200000000001,0.8696,0.0435,0.087,1,0,0,0.97,0.01
72,0.05,0.86,0.09,200,278,1,564,5,0.8,100,2000,0.7447,0.02220884,0.2579,0.234689,0,1,0,0.0649,0.8182,0.1169,0.05,0.86
