Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,35,1,235,5,1,100,2000,0.41292395,0.0068957955786475,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,31,1,231,5,1,100,2000,0.418,0.00698859,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.05,0,0.95,200,26,1,226,5,1,100,2000,0.4285,0.00945544,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
3,0.04,0.02,0.94,200,21,1,221,5,0.8,100,2000,0.4382,0.01214939,0.998,0.0598800000000001,NaN,NaN,NaN,0.04,0.02,0.94,0.04,0.02
4,0.03,0.05,0.92,200,35,1,241,5,0.4,100,2000,0.4511,0.017663,0.9966,0.079728,NaN,NaN,NaN,0.03,0.05,0.92,0.03,0.05
5,0.09,0.03,0.88,200,38,1,242,5,0.8,100,2000,0.4672,0.02335059,0.991,0.11892,NaN,NaN,NaN,0.09,0.03,0.88,0.09,0.03
6,0.15,0.01,0.84,200,54,1,265,5,1,100,2000,0.4859,0.02850236,0.9774,0.156384,NaN,NaN,NaN,0.15,0.01,0.84,0.15,0.01
7,0.26,0,0.74,200,75,1,295,5,1,100,2000,0.5013,0.03330456,0.9324,0.242424,NaN,NaN,NaN,0.26,0,0.74,0.26,0
8,0.11,0.19,0.7,200,105,1,330,5,1,100,2000,0.5201,0.034264,0.9518,0.28554,NaN,NaN,NaN,0.11,0.19,0.7,0.11,0.19
9,0.06,0.25,0.69,200,107,1,336,5,1,100,2000,0.5421,0.036912,0.9339,0.289509,NaN,NaN,NaN,0.06,0.25,0.69,0.06,0.25
10,0.24,0.07,0.69,200,88,1,313,5,0.8,100,2000,0.5556,0.03787675,0.9375,0.290625,NaN,NaN,NaN,0.24,0.07,0.69,0.24,0.07
11,0.03,0.33,0.64,200,107,1,340,5,0.6,100,2000,0.5795,0.04328164,0.8902,0.320472,NaN,NaN,NaN,0.03,0.33,0.64,0.03,0.33
