Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,22,1,222,5,1,100,2000,0.435913824242424,0.0230584720476433,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,32,1,232,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.07,0.01,0.92,200,43,1,243,5,0.8,100,2000,0.456597,0.024689109291,0.995,0.0796,NaN,NaN,NaN,0.07,0.01,0.92,0.07,0.01
3,0.06,0.03,0.91,200,36,1,239,5,1,100,2000,0.466897,0.025258141091,0.9955,0.089595,NaN,NaN,NaN,0.06,0.03,0.91,0.06,0.03
4,0.1,0.03,0.87,200,65,1,269,5,0.8,100,2000,0.481698,0.028349066596,0.9891,0.128583,NaN,NaN,NaN,0.1,0.03,0.87,0.1,0.03
5,0.09,0.05,0.86,200,50,1,254,5,0.6,100,2000,0.490398,0.028552451396,0.9894,0.138516,NaN,NaN,NaN,0.09,0.05,0.86,0.09,0.05
6,0.14,0,0.86,200,50,1,253,5,1,100,2000,0.504199,0.029276998299,0.9804,0.137256,NaN,NaN,NaN,0.14,0,0.86,0.14,0
7,0.17,0,0.83,200,52,1,256,5,1,100,2000,0.517199,0.031763424299,0.9711,0.165087,NaN,NaN,NaN,0.17,0,0.83,0.17,0
8,0.19,0.01,0.8,200,73,1,281,5,1,100,2000,0.5342,0.03392819,0.9638,0.19276,NaN,NaN,NaN,0.19,0.01,0.8,0.19,0.01
9,0.16,0.11,0.73,200,96,1,312,5,1,100,2000,0.554,0.03568179,0.9623,0.259821,NaN,NaN,NaN,0.16,0.11,0.73,0.16,0.11
10,0.2,0.11,0.69,200,94,1,309,5,0.8,100,2000,0.5809,0.03923736,0.9479,0.293849,NaN,NaN,NaN,0.2,0.11,0.69,0.2,0.11
11,0.22,0.15,0.63,200,115,1,337,5,1,100,2000,0.6133,0.04453176,0.9291,0.343767,NaN,NaN,NaN,0.22,0.15,0.63,0.22,0.15
12,0.29,0.18,0.53,200,164,1,385,5,1,100,2000,0.6363,0.04359356,0.8835,0.415245,NaN,NaN,NaN,0.29,0.18,0.53,0.29,0.18
13,0.73,0,0.27,200,236,1,500,5,1,100,2000,0.671,0.04392419,0.4671,0.340983,NaN,NaN,NaN,0.73,0,0.27,0.73,0
14,0.43,0.33,0.24,200,245,1,518,5,1,100,2000,0.7246,0.04117275,0.7062,0.536712,NaN,NaN,NaN,0.43,0.33,0.24,0.43,0.33
15,0.7,0.23,0.07,200,295,1,571,5,1,100,2000,0.7491,0.037087,0.4571,0.425103,NaN,NaN,NaN,0.7,0.23,0.07,0.7,0.23
16,0.75,0,0.25,200,212,1,489,5,1,100,2000,0.7815,0.03526004,0.4375,0.328125,NaN,NaN,NaN,0.75,0,0.25,0.75,0
17,1,0,0,200,279,1,588,5,1,100,2000,0.8006,0.03119675,0,0,NaN,NaN,NaN,1,0,0,1,0
18,1,0,0,200,279,1,591,5,1,100,2000,0.8122,0.03034659,0,0,NaN,NaN,NaN,1,0,0,1,0
19,0.25,0.52,0.23,200,216,1,506,5,1,100,2000,0.8253,0.02986096,0.6671,0.513667,NaN,NaN,NaN,0.25,0.52,0.23,0.25,0.52
20,0.99,0,0.01,200,260,1,584,5,1,100,2000,0.8177,0.03216624,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
21,0.97,0,0.03,200,274,1,592,5,1,100,2000,0.8243,0.02997836,0.0591,0.057327,NaN,NaN,NaN,0.97,0,0.03,0.97,0
22,0.04,0.92,0.04,200,255,1,582,5,0.8,100,2000,0.8279,0.02890316,0.152,0.14592,NaN,NaN,NaN,0.04,0.92,0.04,0.04,0.92
23,0.98,0,0.02,200,266,1,586,5,1,100,2000,0.8162,0.02993579,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
24,1,0,0,200,265,1,588,5,1,100,2000,0.8177,0.02904424,0,0,NaN,NaN,NaN,1,0,0,1,0
25,0.78,0.21,0.01,200,268,1,586,5,0.8,100,2000,0.8177,0.02904424,0.3475,0.344025,NaN,NaN,NaN,0.78,0.21,0.01,0.78,0.21
26,0.99,0,0.01,200,264,1,587,5,1,100,2000,0.8033,0.03100576,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
27,0.99,0,0.01,200,271,1,591,5,1,100,2000,0.7951,0.031589,0.0199,0.019701,NaN,NaN,NaN,0.99,0,0.01,0.99,0
28,1,0,0,200,279,1,588,5,1,100,2000,0.7946,0.03090875,0,0,NaN,NaN,NaN,1,0,0,1,0
29,0.95,0,0.05,200,271,1,576,5,1,100,2000,0.7769,0.03515776,0.0975,0.092625,NaN,NaN,NaN,0.95,0,0.05,0.95,0
30,0.98,0,0.02,200,282,1,589,5,1,100,2000,0.7805,0.03416984,0.0396000000000001,0.0388080000000001,NaN,NaN,NaN,0.98,0,0.02,0.98,0
31,0.05,0.89,0.06,200,278,1,592,5,1,100,2000,0.7803,0.03401796,0.2054,0.193076,NaN,NaN,NaN,0.05,0.89,0.06,0.05,0.89
32,0.68,0,0.32,200,206,1,484,5,1,100,2000,0.7643,0.03689436,0.5376,0.365568,NaN,NaN,NaN,0.68,0,0.32,0.68,0
33,1,0,0,200,279,1,588,5,1,100,2000,0.7718,0.03442011,0,0,NaN,NaN,NaN,1,0,0,1,0
34,1,0,0,200,289,1,596,5,1,100,2000,0.7719,0.03441076,0,0,NaN,NaN,NaN,1,0,0,1,0
35,0.05,0,0.95,200,33,1,233,5,1,100,2000,0.745,0.03580499,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
36,0.05,0.71,0.24,200,240,1,523,5,1,100,2000,0.7532,0.03336339,0.4934,0.374984,NaN,NaN,NaN,0.05,0.71,0.24,0.05,0.71
37,1,0,0,200,314,1,604,5,1,100,2000,0.7438,0.03182331,0,0,NaN,NaN,NaN,1,0,0,1,0
38,0.04,0.34,0.62,200,125,1,361,5,0.8,100,2000,0.7245,0.03499664,0.8828,0.335464,NaN,NaN,NaN,0.04,0.34,0.62,0.04,0.34
39,0.14,0.01,0.85,200,46,1,255,5,0.8,100,2000,0.7245,0.03226264,0.9803,0.147045,NaN,NaN,NaN,0.14,0.01,0.85,0.14,0.01
40,0.04,0.04,0.92,200,40,1,240,5,0.8,100,2000,0.7224,0.03223571,0.9968,0.079744,NaN,NaN,NaN,0.04,0.04,0.92,0.04,0.04
41,0.17,0,0.83,200,50,1,262,5,1,100,2000,0.7268,0.03166611,0.9711,0.165087,NaN,NaN,NaN,0.17,0,0.83,0.17,0
42,0.14,0,0.86,200,51,1,258,5,1,100,2000,0.728,0.03000659,0.9804,0.137256,NaN,NaN,NaN,0.14,0,0.86,0.14,0
43,0.05,0.01,0.94,200,31,1,231,5,0.8,100,2000,0.7322,0.03014459,0.9974,0.0598440000000001,NaN,NaN,NaN,0.05,0.01,0.94,0.05,0.01
44,0.05,0.89,0.06,200,303,1,591,5,1,100,2000,0.7374,0.02951371,0.2054,0.193076,NaN,NaN,NaN,0.05,0.89,0.06,0.05,0.89
45,0.05,0.81,0.14,200,293,1,576,5,1,100,2000,0.7297,0.03126384,0.3414,0.293604,NaN,NaN,NaN,0.05,0.81,0.14,0.05,0.81
46,0.08,0,0.92,200,40,1,240,5,1,100,2000,0.7103,0.03024596,0.9936,0.079488,NaN,NaN,NaN,0.08,0,0.92,0.08,0
47,0.29,0,0.71,200,98,1,308,5,1,100,2000,0.7186,0.02949075,0.9159,0.265611,NaN,NaN,NaN,0.29,0,0.71,0.29,0
48,0.24,0.04,0.72,200,103,1,309,5,0.8,100,2000,0.7122,0.02862459,0.9408,0.263424,NaN,NaN,NaN,0.24,0.04,0.72,0.24,0.04
49,0.66,0,0.34,200,224,1,488,5,1,100,2000,0.7149,0.02811896,0.5644,0.372504,NaN,NaN,NaN,0.66,0,0.34,0.66,0
50,0.11,0.65,0.24,200,257,1,520,5,0.8,100,2000,0.7116,0.02759475,0.5654,0.429704,NaN,NaN,NaN,0.11,0.65,0.24,0.11,0.65
51,0.06,0.68,0.26,200,246,1,507,5,1,100,2000,0.7176,0.02732875,0.534,0.39516,NaN,NaN,NaN,0.06,0.68,0.26,0.06,0.68
52,0.06,0,0.94,200,33,1,233,5,1,100,2000,0.705,0.02745899,0.9964,0.0597840000000001,NaN,NaN,NaN,0.06,0,0.94,0.06,0
53,0.87,0,0.13,200,291,1,557,5,1,100,2000,0.7113,0.02739256,0.2431,0.211497,NaN,NaN,NaN,0.87,0,0.13,0.87,0
54,0.33,0,0.67,200,124,1,335,5,1,100,2000,0.6846,0.02629675,0.8911,0.294063,NaN,NaN,NaN,0.33,0,0.67,0.33,0
55,0.07,0,0.93,200,36,1,236,5,1,100,2000,0.6888,0.02564131,0.9951,0.069657,NaN,NaN,NaN,0.07,0,0.93,0.07,0
56,0.25,0.65,0.1,200,308,1,574,5,1,100,2000,0.6982,0.02526539,0.515,0.4635,NaN,NaN,NaN,0.25,0.65,0.1,0.25,0.65
57,0.97,0,0.03,200,308,1,584,5,1,100,2000,0.7,0.02559699,0.0591,0.057327,NaN,NaN,NaN,0.97,0,0.03,0.97,0
58,0.12,0.03,0.85,200,58,1,259,5,1,100,2000,0.6622,0.02537059,0.9847,0.147705,NaN,NaN,NaN,0.12,0.03,0.85,0.12,0.03
59,0.65,0,0.35,200,220,1,470,5,1,100,2000,0.6718,0.02575211,0.5775,0.375375,NaN,NaN,NaN,0.65,0,0.35,0.65,0
60,0.23,0,0.77,200,79,1,285,5,1,100,2000,0.6553,0.02369696,0.9471,0.217833,NaN,NaN,NaN,0.23,0,0.77,0.23,0
61,0.35,0,0.65,200,126,1,337,5,1,100,2000,0.6655,0.02330284,0.8775,0.307125,NaN,NaN,NaN,0.35,0,0.65,0.35,0
62,0.89,0,0.11,200,293,1,551,5,1,100,2000,0.6733,0.02245176,0.2079,0.185031,NaN,NaN,NaN,0.89,0,0.11,0.89,0
63,0.09,0,0.91,200,30,1,231,5,1,100,2000,0.6595,0.02124564,0.9919,0.089271,NaN,NaN,NaN,0.09,0,0.91,0.09,0
64,0.88,0,0.12,200,280,1,552,5,1,100,2000,0.6702,0.02151699,0.2256,0.198528,NaN,NaN,NaN,0.88,0,0.12,0.88,0
65,0.3,0,0.7,200,113,1,323,5,1,100,2000,0.6676,0.02380275,0.91,0.273,NaN,NaN,NaN,0.3,0,0.7,0.3,0
66,0.05,0.3,0.65,200,130,1,358,5,0.8,100,2000,0.6699,0.02252596,0.9075,0.317625,NaN,NaN,NaN,0.05,0.3,0.65,0.05,0.3
67,0.73,0.04,0.23,200,273,1,517,5,1,100,2000,0.6761,0.022358,0.4655,0.358435,NaN,NaN,NaN,0.73,0.04,0.23,0.73,0.04
68,0.82,0.01,0.17,200,268,1,535,5,1,100,2000,0.6825,0.02278624,0.3275,0.271825,NaN,NaN,NaN,0.82,0.01,0.17,0.82,0.01
69,0.07,0.04,0.89,200,45,1,246,5,1,100,2000,0.66,0.02092899,0.9935,0.109285,NaN,NaN,NaN,0.07,0.04,0.89,0.07,0.04
70,0.71,0,0.29,200,223,1,487,5,1,100,2000,0.6731,0.022139,0.4959,0.352089,NaN,NaN,NaN,0.71,0,0.29,0.71,0
71,0.89,0,0.11,200,302,1,557,5,1,100,2000,0.6575,0.02098124,0.2079,0.185031,NaN,NaN,NaN,0.89,0,0.11,0.89,0
72,0.11,0,0.89,200,37,1,238,5,1,100,2000,0.6487,0.02079404,0.9879,0.108669,NaN,NaN,NaN,0.11,0,0.89,0.11,0
