Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,37,1,237,5,1,100,2000,0.439500988888889,0.0231919371129789,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,31,1,231,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.06,0.01,0.93,200,38,1,238,5,1,100,2000,0.456597,0.024689109291,0.9963,0.0697409999999999,NaN,NaN,NaN,0.06,0.01,0.93,0.06,0.01
3,0.07,0,0.93,200,36,1,236,5,1,100,2000,0.466997,0.025343771691,0.9951,0.069657,NaN,NaN,NaN,0.07,0,0.93,0.07,0
4,0.08,0.02,0.9,200,43,1,245,5,1,100,2000,0.479598,0.027610368196,0.9932,0.09932,NaN,NaN,NaN,0.08,0.02,0.9,0.08,0.02
5,0.05,0.08,0.87,200,54,1,260,5,0.8,100,2000,0.491798,0.030799756996,0.9911,0.128843,NaN,NaN,NaN,0.05,0.08,0.87,0.05,0.08
6,0.12,0.01,0.87,200,43,1,247,5,1,100,2000,0.503999,0.032508697899,0.9855,0.128115,NaN,NaN,NaN,0.12,0.01,0.87,0.12,0.01
7,0.17,0,0.83,200,53,1,258,5,1,100,2000,0.517699,0.035865075299,0.9711,0.165087,NaN,NaN,NaN,0.17,0,0.83,0.17,0
8,0.1,0.13,0.77,200,72,1,291,5,0.8,100,2000,0.540099,0.040426880099,0.9731,0.223813,NaN,NaN,NaN,0.1,0.13,0.77,0.1,0.13
9,0.31,0,0.69,200,91,1,307,5,1,100,2000,0.5668,0.04369211,0.9039,0.280209,NaN,NaN,NaN,0.31,0,0.69,0.31,0
10,0.25,0.09,0.66,200,119,1,340,5,1,100,2000,0.5914,0.04643531,0.9294,0.315996,NaN,NaN,NaN,0.25,0.09,0.66,0.25,0.09
11,0.19,0.18,0.63,200,108,1,331,5,1,100,2000,0.6173,0.04781616,0.9315,0.344655,NaN,NaN,NaN,0.19,0.18,0.63,0.19,0.18
12,0.33,0.07,0.6,200,116,1,339,5,1,100,2000,0.6406,0.04835475,0.8862,0.35448,NaN,NaN,NaN,0.33,0.07,0.6,0.33,0.07
